date,category,score,trend_note
2026-03-17,Economy & Markets,-2.0,Market volatility due to geopolitical tensions is causing concern among investors.
2026-03-17,Stocks,1.0,"Despite geopolitical risks, some analysts remain optimistic about earnings forecasts."
2026-03-17,Crypto,3.0,"Positive sentiment is noted in the crypto market, with Bitcoin and Ethereum prices rising."
2026-03-17,Economy & Markets,-3.0,Concerns over rising energy prices and geopolitical tensions are contributing to a bearish outlook.
2026-03-17,Stocks,1.0,"Despite some volatility, there is cautious optimism as certain sectors respond positively to ongoing developments."
2026-03-17,Crypto,2.0,"Market sentiment is improving as Bitcoin prices rise, although caution remains due to geopolitical uncertainties."
2026-03-19,Economy & Markets,-3.0,Concerns over inflation and geopolitical tensions are negatively impacting market sentiment.
2026-03-19,Stocks,-2.0,Stock markets are experiencing volatility due to rising oil prices and geopolitical instability.
2026-03-19,Crypto,-1.0,"The crypto market is under pressure from broader economic concerns, though some analysts remain cautiously optimistic."
2026-03-20,Economy & Markets,-3.0,Concerns over rising energy prices and geopolitical tensions are contributing to a bearish outlook.
2026-03-20,Stocks,-2.0,Investor sentiment is cautious as military conflicts and energy market volatility weigh on stock performance.
2026-03-20,Crypto,1.0,"Despite some regulatory concerns, there is a moderate positive sentiment around crypto developments and ETF proposals."
2026-03-21,Economy & Markets,-2.0,Market sentiment is cautious due to rising geopolitical tensions and their potential impact on global economic stability.
2026-03-21,Stocks,-3.0,The stock market has shown bearish tendencies amid concerns over military actions and their economic repercussions.
2026-03-21,Crypto,1.0,"Crypto markets are experiencing mixed sentiment, with some positive developments in ETF proposals amid broader market volatility."
2026-03-22,Economy & Markets,-3.0,There is a bearish sentiment due to rising energy prices and geopolitical tensions affecting market stability.
2026-03-22,Stocks,-2.0,"Market reactions have been negative, with concerns over interest rate hikes and geopolitical instability impacting investor confidence."
2026-03-22,Crypto,1.0,"Despite some regulatory uncertainties, there is cautious optimism in the crypto market following recent developments in mining and collateral usage."
2026-03-23,Economy & Markets,1.0,Market sentiment is cautiously optimistic following Trump's postponement of military action against Iran.
2026-03-23,Stocks,2.0,"The stock market has shown signs of recovery, particularly in response to geopolitical developments."
2026-03-23,Crypto,-1.0,Cryptocurrency markets are experiencing fluctuations due to geopolitical tensions and regulatory concerns.
2026-03-24,Economy & Markets,-2.0,Concerns about geopolitical tensions and their impact on global trade are prevalent.
2026-03-24,Stocks,1.0,Mixed signals from the market as some sectors show resilience despite broader economic uncertainties.
2026-03-24,Crypto,-1.0,Market sentiment is cautious as volatility continues to affect investor confidence.
2026-03-25,Economy & Markets,-2.0,There is growing concern about economic stability amid geopolitical tensions.
2026-03-25,Stocks,1.0,"Stock market reactions have been mixed, with some gains driven by optimism over potential peace talks."
2026-03-25,Crypto,0.0,The cryptocurrency market remains stable but cautious amid broader economic uncertainties.
2026-03-27,Economy & Markets,-2.0,Concerns over inflation and geopolitical tensions are contributing to a bearish outlook.
2026-03-27,Stocks,-3.0,Market volatility and negative news surrounding major companies are leading to a cautious sentiment.
2026-03-27,Crypto,1.0,"Despite recent challenges, there is optimism surrounding regulatory developments and market maturation."
2026-03-30,Economy & Markets,-3.0,The mood is cautious due to rising tensions in the Middle East and their potential impact on global supply chains.
2026-03-30,Stocks,-2.0,Market sentiment is negative as investors react to geopolitical instability and its implications for economic growth.
2026-03-30,Crypto,-1.0,"The sentiment in the crypto market is slightly bearish, influenced by recent outflows and inflation concerns."
2026-03-31,Economy & Markets,-3.0,Concerns over rising energy prices and geopolitical tensions are weighing on market sentiment.
2026-03-31,Stocks,1.0,Mixed performance in stocks as investors react to geopolitical developments and corporate earnings.
2026-03-31,Crypto,0.0,"Crypto markets are experiencing volatility, with no clear direction amid broader economic uncertainties."
2026-04-01,Economy & Markets,0.0,Market sentiment remains neutral as investors assess geopolitical developments and their potential economic impacts.
2026-04-01,Stocks,1.0,There is a cautiously optimistic tone in the stock market as investors react to potential resolutions in the Iran conflict.
2026-04-01,Crypto,2.0,"The cryptocurrency market shows signs of recovery, with positive developments in Bitcoin ETFs and institutional interest."
